ITEM,Model ID,Marketing Model Name,Marketing Description,Description,MODEL YEAR STATUS,Rider Solution,Short Intro Copy,Feature-Benefit #1,Feature-Benefit #2,Feature-Benefit #3,Feature-Benefit #4,Feature-Benefit #5,Feature-Benefit #6,E-BIKE Recommended,Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Attribute 9,Attribute 10,Attribute 11,Attribute 12,Photo1,Photo2,Photo3,Photo4
CR4HRA-137,CR4-HLX-R02,Helix Race 3-Bolt Chainring,"Helix R Direct Mount Chainring for 3-Bolt Cranks - 30T, Bronze",Helix Race | Chainring | 3-Bolt Direct Mount | 30T | 3mm Offset | Shimano/SRAM 11/12s Chain Compatible | Bronze,CONTINUED,Riders who want to stylize their SRAM-equipped ride can now do so and even match the color and design aesthetic of the Helix Race cassettes.,"The Helix R 3-Bolt Direct Mount Chainrings, engineered for SRAM 3-Bolt crank systems, merge aesthetics with robust durability. e*thirteen's narrow-wide tooth profile ensures compatibility with Shimano and SRAM 11 and 12-speed drivetrains. Manufactured from AL-7075-T6 aerospace-grade aluminum, the rings are CNC sculpted for weights starting at just 48g. Helix R 3-bolt rings are available in the most popular -3mm offset, in sizes 28-34T, and in the spectrum of e*thirteen colors. Elevate your 3-Bolt Cranks, diversify drivetrains, reduce weight, and bring a new aesthetic to your bike with the Helix R 3-Bolt Chainrings.","Save weight, keep your drivetrain options open and use the chain you want","-3mm Offset, 3-Bolt Direct Mount design for use with SRAM™ 3-bolt direct mount compatible cranks",Cut from billet AL-7075 for the highest strength and wear resistance,SRAM™ and Shimano™ 11 and 12 Speed Chain compatible,Extensive CNC machining for ultra-light weight (32t=51g) and looks that kill,Available in 5 bold Ano colors and 4 sizes 28/30/32/34t,F,30T,SRAM 3-Bolt Direct Mount Cranks,,3mm Offset,11/12s,M4 narrow-wide,Shimano/SRAM 11/12s,AL 7075-T6,43g,,Bronze,5 Years,https://drive.google.com/open?id=1rBypkirgqcdcQpZpTzSJrPCso3QFfdyw&usp=drive_copy,,,https://drive.google.com/open?id=1rxFvwE94J7_L5mvD6lMwMUmgjniSlgiQ&usp=drive_copy
CR4HRA-138,CR4-HLX-R02,Helix Race 3-Bolt Chainring,"Helix R Direct Mount Chainring for 3-Bolt Cranks - 32T, Bronze",Helix Race | Chainring | 3-Bolt Direct Mount | 32T | 3mm Offset | Shimano/SRAM 11/12s Chain Compatible | Bronze,CONTINUED,Riders who want to stylize their SRAM-equipped ride can now do so and even match the color and design aesthetic of the Helix Race cassettes.,"The Helix R 3-Bolt Direct Mount Chainrings, engineered for SRAM 3-Bolt crank systems, merge aesthetics with robust durability. e*thirteen's narrow-wide tooth profile ensures compatibility with Shimano and SRAM 11 and 12-speed drivetrains. Manufactured from AL-7075-T6 aerospace-grade aluminum, the rings are CNC sculpted for weights starting at just 48g. Helix R 3-bolt rings are available in the most popular -3mm offset, in sizes 28-34T, and in the spectrum of e*thirteen colors. Elevate your 3-Bolt Cranks, diversify drivetrains, reduce weight, and bring a new aesthetic to your bike with the Helix R 3-Bolt Chainrings.","Save weight, keep your drivetrain options open and use the chain you want","-3mm Offset, 3-Bolt Direct Mount design for use with SRAM™ 3-bolt direct mount compatible cranks",Cut from billet AL-7075 for the highest strength and wear resistance,SRAM™ and Shimano™ 11 and 12 Speed Chain compatible,Extensive CNC machining for ultra-light weight (32t=51g) and looks that kill,Available in 5 bold Ano colors and 4 sizes 28/30/32/34t,F,32T,SRAM 3-Bolt Direct Mount Cranks,,3mm Offset,11/12s,M4 narrow-wide,Shimano/SRAM 11/12s,AL 7075-T6,46g,,Bronze,5 Years,https://drive.google.com/open?id=1rMFHwsC91O9lBaeqt2re1SCmkTLC2NWs&usp=drive_copy,,,https://drive.google.com/open?id=1rxFvwE94J7_L5mvD6lMwMUmgjniSlgiQ&usp=drive_copy
CR4HRA-139,CR4-HLX-R02,Helix Race 3-Bolt Chainring,"Helix R Direct Mount Chainring for 3-Bolt Cranks - 34T, Bronze",Helix Race | Chainring | 3-Bolt Direct Mount | 34T | 3mm Offset | Shimano/SRAM 11/12s Chain Compatible | Bronze,CONTINUED,Riders who want to stylize their SRAM-equipped ride can now do so and even match the color and design aesthetic of the Helix Race cassettes.,"The Helix R 3-Bolt Direct Mount Chainrings, engineered for SRAM 3-Bolt crank systems, merge aesthetics with robust durability. e*thirteen's narrow-wide tooth profile ensures compatibility with Shimano and SRAM 11 and 12-speed drivetrains. Manufactured from AL-7075-T6 aerospace-grade aluminum, the rings are CNC sculpted for weights starting at just 48g. Helix R 3-bolt rings are available in the most popular -3mm offset, in sizes 28-34T, and in the spectrum of e*thirteen colors. Elevate your 3-Bolt Cranks, diversify drivetrains, reduce weight, and bring a new aesthetic to your bike with the Helix R 3-Bolt Chainrings.","Save weight, keep your drivetrain options open and use the chain you want","-3mm Offset, 3-Bolt Direct Mount design for use with SRAM™ 3-bolt direct mount compatible cranks",Cut from billet AL-7075 for the highest strength and wear resistance,SRAM™ and Shimano™ 11 and 12 Speed Chain compatible,Extensive CNC machining for ultra-light weight (32t=51g) and looks that kill,Available in 5 bold Ano colors and 4 sizes 28/30/32/34t,F,34T,SRAM 3-Bolt Direct Mount Cranks,,3mm Offset,11/12s,M4 narrow-wide,Shimano/SRAM 11/12s,AL 7075-T6,65g,,Bronze,5 Years,https://drive.google.com/open?id=1rPbyUdvFctJr7lJ2_zH6U0FoaAlaK6KF&usp=drive_copy,,,https://drive.google.com/open?id=1rxFvwE94J7_L5mvD6lMwMUmgjniSlgiQ&usp=drive_copy
CR4HRA-140,CR4-HLX-R01,Helix Race Direct Mount Chainring,"Helix R Direct Mount Chainring for e*thirteen Cranks - 28T, Black",Helix Race | Chainring | Direct Mount | 28T | 52/55mm Flip Flop | Shimano/SRAM 11/12s Chain Compatible | Black,CONTINUED,Personalize and add color accents to your e*thirteen cranks with a lightweight and long-wearing chainring.,"Helix R Direct Mount Chainrings, manufactured from durable AL-7075-T6, combine aesthetics and design efficiency. Their flip-flop design accommodates Boost or Super Boost chainlines. With e*thirteen's narrow-wide tooth profile, they ensure enhanced chain retention, reduced wear, and compatibility with Shimano and SRAM chains. Perfectly complementing all Helix Cranks, they're backward compatible with e*thirteen TRS, LG1, and XCX Race cranks. Available in 28-34T and in the spectrum of e*thirteen colors.","Direct Mount design for use with Helix cranks, adjustable chainline TRS/LG1 cranks, and XCX Race cranks",Flip-Flop design allows for both Boost and SuperBoost chainlines,"Durable AL-7075-T6 construction for long wear-life, stiffness, and strength","M4 narrow-wide tooth profile provides Shimano and SRAM 11/12-speed chain compatibility, excellent chain retention, and reduced wear","Extensively CNC optimized for technical aesthetics and ultralight weight, starting at just 48g",28-34T sizes and a full range of colors to match other popular e*thirteen components,F,28T,e*thirteen Direct Mount,52/55mm,3.5mm Offset,11/12s,M4 narrow-wide,Shimano/SRAM 11/12s,AL 7075-T6,43g,,Black,5 Years,https://drive.google.com/open?id=1paPVDtFmHxp49IzG-ww01x_7su4mfDhT&usp=drive_copy,,,https://drive.google.com/open?id=1frO1ifuDbDdeDQDunGjHvW3wwhWXqa8s&usp=drive_copy
CR4HRA-141,CR4-HLX-R01,Helix Race Direct Mount Chainring,"Helix R Direct Mount Chainring for e*thirteen Cranks - 30T, Black",Helix Race | Chainring | Direct Mount | 30T | 52/55mm Flip Flop | Shimano/SRAM 11/12s Chain Compatible | Black,CONTINUED,Personalize and add color accents to your e*thirteen cranks with a lightweight and long-wearing chainring.,"Helix R Direct Mount Chainrings, manufactured from durable AL-7075-T6, combine aesthetics and design efficiency. Their flip-flop design accommodates Boost or Super Boost chainlines. With e*thirteen's narrow-wide tooth profile, they ensure enhanced chain retention, reduced wear, and compatibility with Shimano and SRAM chains. Perfectly complementing all Helix Cranks, they're backward compatible with e*thirteen TRS, LG1, and XCX Race cranks. Available in 28-34T and in the spectrum of e*thirteen colors.","Direct Mount design for use with Helix cranks, adjustable chainline TRS/LG1 cranks, and XCX Race cranks",Flip-Flop design allows for both Boost and SuperBoost chainlines,"Durable AL-7075-T6 construction for long wear-life, stiffness, and strength","M4 narrow-wide tooth profile provides Shimano and SRAM 11/12-speed chain compatibility, excellent chain retention, and reduced wear","Extensively CNC optimized for technical aesthetics and ultralight weight, starting at just 48g",28-34T sizes and a full range of colors to match other popular e*thirteen components,F,30T,e*thirteen Direct Mount,52/55mm,3.5mm Offset,11/12s,M4 narrow-wide,Shimano/SRAM 11/12s,AL 7075-T6,48g,,Black,5 Years,https://drive.google.com/open?id=1qKw2S4K5Z0uxM4l6AMYj_bZbTxFG2yGr&usp=drive_copy,,,https://drive.google.com/open?id=1frO1ifuDbDdeDQDunGjHvW3wwhWXqa8s&usp=drive_copy
CR4HRA-142,CR4-HLX-R01,Helix Race Direct Mount Chainring,"Helix R Direct Mount Chainring for e*thirteen Cranks - 32T, Black",Helix Race | Chainring | Direct Mount | 32T | 52/55mm Flip Flop | Shimano/SRAM 11/12s Chain Compatible | Black,CONTINUED,Personalize and add color accents to your e*thirteen cranks with a lightweight and long-wearing chainring.,"Helix R Direct Mount Chainrings, manufactured from durable AL-7075-T6, combine aesthetics and design efficiency. Their flip-flop design accommodates Boost or Super Boost chainlines. With e*thirteen's narrow-wide tooth profile, they ensure enhanced chain retention, reduced wear, and compatibility with Shimano and SRAM chains. Perfectly complementing all Helix Cranks, they're backward compatible with e*thirteen TRS, LG1, and XCX Race cranks. Available in 28-34T and in the spectrum of e*thirteen colors.","Direct Mount design for use with Helix cranks, adjustable chainline TRS/LG1 cranks, and XCX Race cranks",Flip-Flop design allows for both Boost and SuperBoost chainlines,"Durable AL-7075-T6 construction for long wear-life, stiffness, and strength","M4 narrow-wide tooth profile provides Shimano and SRAM 11/12-speed chain compatibility, excellent chain retention, and reduced wear","Extensively CNC optimized for technical aesthetics and ultralight weight, starting at just 48g",28-34T sizes and a full range of colors to match other popular e*thirteen components,F,32T,e*thirteen Direct Mount,52/55mm,3.5mm Offset,11/12s,M4 narrow-wide,Shimano/SRAM 11/12s,AL 7075-T6,54g,,Black,5 Years,https://drive.google.com/open?id=1q7DvYtaIcTTnJzHYowz4X3eoH2qfYo_c&usp=drive_copy,,,https://drive.google.com/open?id=1frO1ifuDbDdeDQDunGjHvW3wwhWXqa8s&usp=drive_copy
CR4HRA-143,CR4-HLX-R01,Helix Race Direct Mount Chainring,"Helix R Direct Mount Chainring for e*thirteen Cranks - 34T, Black",Helix Race | Chainring | Direct Mount | 34T | 52/55mm Flip Flop | Shimano/SRAM 11/12s Chain Compatible | Black,CONTINUED,Personalize and add color accents to your e*thirteen cranks with a lightweight and long-wearing chainring.,"Helix R Direct Mount Chainrings, manufactured from durable AL-7075-T6, combine aesthetics and design efficiency. Their flip-flop design accommodates Boost or Super Boost chainlines. With e*thirteen's narrow-wide tooth profile, they ensure enhanced chain retention, reduced wear, and compatibility with Shimano and SRAM chains. Perfectly complementing all Helix Cranks, they're backward compatible with e*thirteen TRS, LG1, and XCX Race cranks. Available in 28-34T and in the spectrum of e*thirteen colors.","Direct Mount design for use with Helix cranks, adjustable chainline TRS/LG1 cranks, and XCX Race cranks",Flip-Flop design allows for both Boost and SuperBoost chainlines,"Durable AL-7075-T6 construction for long wear-life, stiffness, and strength","M4 narrow-wide tooth profile provides Shimano and SRAM 11/12-speed chain compatibility, excellent chain retention, and reduced wear","Extensively CNC optimized for technical aesthetics and ultralight weight, starting at just 48g",28-34T sizes and a full range of colors to match other popular e*thirteen components,F,34T,e*thirteen Direct Mount,52/55mm,3.5mm Offset,11/12s,M4 narrow-wide,Shimano/SRAM 11/12s,AL 7075-T6,57g,,Black,5 Years,https://drive.google.com/open?id=1q97xpdc8y0buCpZKMuPPTEax39ApJ5zJ&usp=drive_copy,,,https://drive.google.com/open?id=1frO1ifuDbDdeDQDunGjHvW3wwhWXqa8s&usp=drive_copy
CR4HRA-144,CR4-HLX-R02,Helix Race 3-Bolt Chainring,"Helix R Direct Mount Chainring for 3-Bolt Cranks - 28T, Black",Helix Race | Chainring | 3-Bolt Direct Mount | 28T | 3mm Offset | Shimano/SRAM 11/12s Chain Compatible | Black,CONTINUED,Riders who want to stylize their SRAM-equipped ride can now do so and even match the color and design aesthetic of the Helix Race cassettes.,"The Helix R 3-Bolt Direct Mount Chainrings, engineered for SRAM 3-Bolt crank systems, merge aesthetics with robust durability. e*thirteen's narrow-wide tooth profile ensures compatibility with Shimano and SRAM 11 and 12-speed drivetrains. Manufactured from AL-7075-T6 aerospace-grade aluminum, the rings are CNC sculpted for weights starting at just 48g. Helix R 3-bolt rings are available in the most popular -3mm offset, in sizes 28-34T, and in the spectrum of e*thirteen colors. Elevate your 3-Bolt Cranks, diversify drivetrains, reduce weight, and bring a new aesthetic to your bike with the Helix R 3-Bolt Chainrings.","Save weight, keep your drivetrain options open and use the chain you want","-3mm Offset, 3-Bolt Direct Mount design for use with SRAM™ 3-bolt direct mount compatible cranks",Cut from billet AL-7075 for the highest strength and wear resistance,SRAM™ and Shimano™ 11 and 12 Speed Chain compatible,Extensive CNC machining for ultra-light weight (32t=51g) and looks that kill,Available in 5 bold Ano colors and 4 sizes 28/30/32/34t,F,28T,SRAM 3-Bolt Direct Mount Cranks,,3mm Offset,11/12s,M4 narrow-wide,Shimano/SRAM 11/12s,AL 7075-T6,40g,,Black,5 Years,https://drive.google.com/open?id=1rNP4zhiEdUjECz6FxPaIgTH9_TIAbV1A&usp=drive_copy,,,https://drive.google.com/open?id=1CFLpJWHjr714mE-cOuwVdUmdU7wE-zEs&usp=drive_copy
CR4HRA-145,CR4-HLX-R02,Helix Race 3-Bolt Chainring,"Helix R Direct Mount Chainring for 3-Bolt Cranks - 30T, Black",Helix Race | Chainring | 3-Bolt Direct Mount | 30T | 3mm Offset | Shimano/SRAM 11/12s Chain Compatible | Black,CONTINUED,Riders who want to stylize their SRAM-equipped ride can now do so and even match the color and design aesthetic of the Helix Race cassettes.,"The Helix R 3-Bolt Direct Mount Chainrings, engineered for SRAM 3-Bolt crank systems, merge aesthetics with robust durability. e*thirteen's narrow-wide tooth profile ensures compatibility with Shimano and SRAM 11 and 12-speed drivetrains. Manufactured from AL-7075-T6 aerospace-grade aluminum, the rings are CNC sculpted for weights starting at just 48g. Helix R 3-bolt rings are available in the most popular -3mm offset, in sizes 28-34T, and in the spectrum of e*thirteen colors. Elevate your 3-Bolt Cranks, diversify drivetrains, reduce weight, and bring a new aesthetic to your bike with the Helix R 3-Bolt Chainrings.","Save weight, keep your drivetrain options open and use the chain you want","-3mm Offset, 3-Bolt Direct Mount design for use with SRAM™ 3-bolt direct mount compatible cranks",Cut from billet AL-7075 for the highest strength and wear resistance,SRAM™ and Shimano™ 11 and 12 Speed Chain compatible,Extensive CNC machining for ultra-light weight (32t=51g) and looks that kill,Available in 5 bold Ano colors and 4 sizes 28/30/32/34t,F,30T,SRAM 3-Bolt Direct Mount Cranks,,3mm Offset,11/12s,M4 narrow-wide,Shimano/SRAM 11/12s,AL 7075-T6,43g,,Black,5 Years,https://drive.google.com/open?id=1rejkE6eqGU3PtHafZcS9hfWgUsdoa2Gh&usp=drive_copy,,,https://drive.google.com/open?id=1CFLpJWHjr714mE-cOuwVdUmdU7wE-zEs&usp=drive_copy
CR4HRA-146,CR4-HLX-R02,Helix Race 3-Bolt Chainring,"Helix R Direct Mount Chainring for 3-Bolt Cranks - 32T, Black",Helix Race | Chainring | 3-Bolt Direct Mount | 32T | 3mm Offset | Shimano/SRAM 11/12s Chain Compatible | Black,CONTINUED,Riders who want to stylize their SRAM-equipped ride can now do so and even match the color and design aesthetic of the Helix Race cassettes.,"The Helix R 3-Bolt Direct Mount Chainrings, engineered for SRAM 3-Bolt crank systems, merge aesthetics with robust durability. e*thirteen's narrow-wide tooth profile ensures compatibility with Shimano and SRAM 11 and 12-speed drivetrains. Manufactured from AL-7075-T6 aerospace-grade aluminum, the rings are CNC sculpted for weights starting at just 48g. Helix R 3-bolt rings are available in the most popular -3mm offset, in sizes 28-34T, and in the spectrum of e*thirteen colors. Elevate your 3-Bolt Cranks, diversify drivetrains, reduce weight, and bring a new aesthetic to your bike with the Helix R 3-Bolt Chainrings.","Save weight, keep your drivetrain options open and use the chain you want","-3mm Offset, 3-Bolt Direct Mount design for use with SRAM™ 3-bolt direct mount compatible cranks",Cut from billet AL-7075 for the highest strength and wear resistance,SRAM™ and Shimano™ 11 and 12 Speed Chain compatible,Extensive CNC machining for ultra-light weight (32t=51g) and looks that kill,Available in 5 bold Ano colors and 4 sizes 28/30/32/34t,F,32T,SRAM 3-Bolt Direct Mount Cranks,,3mm Offset,11/12s,M4 narrow-wide,Shimano/SRAM 11/12s,AL 7075-T6,46g,,Black,5 Years,https://drive.google.com/open?id=1rfF-0KpqNdLt9Xhh-jx7WNWyPc9vaMmk&usp=drive_copy,,,https://drive.google.com/open?id=1CFLpJWHjr714mE-cOuwVdUmdU7wE-zEs&usp=drive_copy
CR4HRA-147,CR4-HLX-R02,Helix Race 3-Bolt Chainring,"Helix R Direct Mount Chainring for 3-Bolt Cranks - 34T, Black",Helix Race | Chainring | 3-Bolt Direct Mount | 34T | 3mm Offset | Shimano/SRAM 11/12s Chain Compatible | Black,CONTINUED,Riders who want to stylize their SRAM-equipped ride can now do so and even match the color and design aesthetic of the Helix Race cassettes.,"The Helix R 3-Bolt Direct Mount Chainrings, engineered for SRAM 3-Bolt crank systems, merge aesthetics with robust durability. e*thirteen's narrow-wide tooth profile ensures compatibility with Shimano and SRAM 11 and 12-speed drivetrains. Manufactured from AL-7075-T6 aerospace-grade aluminum, the rings are CNC sculpted for weights starting at just 48g. Helix R 3-bolt rings are available in the most popular -3mm offset, in sizes 28-34T, and in the spectrum of e*thirteen colors. Elevate your 3-Bolt Cranks, diversify drivetrains, reduce weight, and bring a new aesthetic to your bike with the Helix R 3-Bolt Chainrings.","Save weight, keep your drivetrain options open and use the chain you want","-3mm Offset, 3-Bolt Direct Mount design for use with SRAM™ 3-bolt direct mount compatible cranks",Cut from billet AL-7075 for the highest strength and wear resistance,SRAM™ and Shimano™ 11 and 12 Speed Chain compatible,Extensive CNC machining for ultra-light weight (32t=51g) and looks that kill,Available in 5 bold Ano colors and 4 sizes 28/30/32/34t,F,34T,SRAM 3-Bolt Direct Mount Cranks,,3mm Offset,11/12s,M4 narrow-wide,Shimano/SRAM 11/12s,AL 7075-T6,65g,,Black,5 Years,https://drive.google.com/open?id=1raaA96H-ai5Op0E79JVE6JgdbuSwy86z&usp=drive_copy,,,https://drive.google.com/open?id=1CFLpJWHjr714mE-cOuwVdUmdU7wE-zEs&usp=drive_copy
CR4HRA-148,CR4-HLX-R03,Helix Race 107BCD Chainring,"Helix R Chainring for 107BCD Cranks - 38T, Black",Helix Race | Chainring | 107BCD | 38T | Shimano/SRAM 11/12s Chain Compatible | Black,CONTINUED,Add an even lower gear and maintain top-end speed for your gravel adventures by adding this ring and a Helix Race 9-45 cassette to your SRAM XPLR drivetrain.,"The Helix R 107BCD Chainring, designed for 4-bolt 107 BCD cranks like SRAM Red or Force including power meter equipped cranks, offers a performance upgrade for Gravel and Road cyclists. The 38, 40, and 42T rings pair perfectly with e*thirteen’s cassettes for more overall range and higher top speeds. Made from durable 7075 alloy, they're CNC sculpted for a high stiffness-to-weight ratio. Compatible with both SRAM and Shimano 11 and 12-speed drivetrains, these rings are available in black & grey, aligning with e*thirteen 9-45T and 9-50T cassettes. Chainline is set by SRAM® Crank assembly.",Compatible with 4-bolt 107 BCD SRAM® cranks and Quarq® power meter cranks,"Forged and CNC optimized from 7075 AL for lightweight, stiffness, and enhanced wear-life","Offered in smaller 38, 40, and 42T sizes to support e*thirteen wide range, 9T smallest cog cassettes","Seamless performance with SRAM and Shimano drivetrains, including SRAM’s new Flat Top Chains.","Chainline is determined by SRAM® Crank assembly, 45mm for normal width cranks, 47.5mm for wide cranks.",,F,38T,107BCD,45/47.5mm (det. by crank assembly),4.8mm Offset,11/12s,M4 narrow-wide,Shimano/SRAM 11/12s incl. Flat Top Chains,AL 7075-T6,68g,,Black,5 Years,https://drive.google.com/open?id=1zArZbLmafhWwJAgTN_oPRattiDYw_kh9&usp=drive_copy,https://drive.google.com/open?id=1sjz4beT-y-NhYQeL_BklYkc9GR470x96&usp=drive_copy,https://drive.google.com/open?id=1zXzncf0_OE94BepAIFDXhBxnJMLRJE0b&usp=drive_copy,https://drive.google.com/open?id=1DL0wmzKw5YqI36JYT11ZugsYDAVdxnZI&usp=drive_copy
CR4HRA-149,CR4-HLX-R03,Helix Race 107BCD Chainring,"Helix R Chainring for 107BCD Cranks - 40T, Black",Helix Race | Chainring | 107BCD | 40T | Shimano/SRAM 11/12s Chain Compatible | Black,CONTINUED,Add an even lower gear and maintain top-end speed for your gravel adventures by adding this ring and a Helix Race 9-45 cassette to your SRAM XPLR drivetrain.,"The Helix R 107BCD Chainring, designed for 4-bolt 107 BCD cranks like SRAM Red or Force including power meter equipped cranks, offers a performance upgrade for Gravel and Road cyclists. The 38, 40, and 42T rings pair perfectly with e*thirteen’s cassettes for more overall range and higher top speeds. Made from durable 7075 alloy, they're CNC sculpted for a high stiffness-to-weight ratio. Compatible with both SRAM and Shimano 11 and 12-speed drivetrains, these rings are available in black & grey, aligning with e*thirteen 9-45T and 9-50T cassettes. Chainline is set by SRAM® Crank assembly.",Compatible with 4-bolt 107 BCD SRAM® cranks and Quarq® power meter cranks,"Forged and CNC optimized from 7075 AL for lightweight, stiffness, and enhanced wear-life","Offered in smaller 38, 40, and 42T sizes to support e*thirteen wide range, 9T smallest cog cassettes","Seamless performance with SRAM and Shimano drivetrains, including SRAM’s new Flat Top Chains.","Chainline is determined by SRAM® Crank assembly, 45mm for normal width cranks, 47.5mm for wide cranks.",,F,40T,107BCD,45/47.5mm (det. by crank assembly),4.8mm Offset,11/12s,M4 narrow-wide,Shimano/SRAM 11/12s incl. Flat Top Chains,AL 7075-T6,74g,,Black,5 Years,https://drive.google.com/open?id=1zArZbLmafhWwJAgTN_oPRattiDYw_kh9&usp=drive_copy,https://drive.google.com/open?id=1sjz4beT-y-NhYQeL_BklYkc9GR470x96&usp=drive_copy,https://drive.google.com/open?id=1zXzncf0_OE94BepAIFDXhBxnJMLRJE0b&usp=drive_copy,https://drive.google.com/open?id=1DL0wmzKw5YqI36JYT11ZugsYDAVdxnZI&usp=drive_copy
CR4HRA-150,CR4-HLX-R03,Helix Race 107BCD Chainring,"Helix R Chainring for 107BCD Cranks - 42T, Black",Helix Race | Chainring | 107BCD | 42T | Shimano/SRAM 11/12s Chain Compatible | Black,CONTINUED,Add an even lower gear and maintain top-end speed for your gravel adventures by adding this ring and a Helix Race 9-45 cassette to your SRAM XPLR drivetrain.,"The Helix R 107BCD Chainring, designed for 4-bolt 107 BCD cranks like SRAM Red or Force including power meter equipped cranks, offers a performance upgrade for Gravel and Road cyclists. The 38, 40, and 42T rings pair perfectly with e*thirteen’s cassettes for more overall range and higher top speeds. Made from durable 7075 alloy, they're CNC sculpted for a high stiffness-to-weight ratio. Compatible with both SRAM and Shimano 11 and 12-speed drivetrains, these rings are available in black & grey, aligning with e*thirteen 9-45T and 9-50T cassettes. Chainline is set by SRAM® Crank assembly.",Compatible with 4-bolt 107 BCD SRAM® cranks and Quarq® power meter cranks,"Forged and CNC optimized from 7075 AL for lightweight, stiffness, and enhanced wear-life","Offered in smaller 38, 40, and 42T sizes to support e*thirteen wide range, 9T smallest cog cassettes","Seamless performance with SRAM and Shimano drivetrains, including SRAM’s new Flat Top Chains.","Chainline is determined by SRAM® Crank assembly, 45mm for normal width cranks, 47.5mm for wide cranks.",,F,42T,107BCD,45/47.5mm (det. by crank assembly),4.8mm Offset,11/12s,M4 narrow-wide,Shimano/SRAM 11/12s incl. Flat Top Chains,AL 7075-T6,81g,,Black,5 Years,https://drive.google.com/open?id=1zArZbLmafhWwJAgTN_oPRattiDYw_kh9&usp=drive_copy,https://drive.google.com/open?id=1sjz4beT-y-NhYQeL_BklYkc9GR470x96&usp=drive_copy,https://drive.google.com/open?id=1zXzncf0_OE94BepAIFDXhBxnJMLRJE0b&usp=drive_copy,https://drive.google.com/open?id=1DL0wmzKw5YqI36JYT11ZugsYDAVdxnZI&usp=drive_copy
CR4HRA-151,CR4-HLX-R03,Helix Race 107BCD Chainring,"Helix R Chainring for 107BCD Cranks - 38T, Grey",Helix Race | Chainring | 107BCD | 38T | Shimano/SRAM 11/12s Chain Compatible | Grey,CONTINUED,Add an even lower gear and maintain top-end speed for your gravel adventures by adding this ring and a Helix Race 9-45 cassette to your SRAM XPLR drivetrain.,"The Helix R 107BCD Chainring, designed for 4-bolt 107 BCD cranks like SRAM Red or Force including power meter equipped cranks, offers a performance upgrade for Gravel and Road cyclists. The 38, 40, and 42T rings pair perfectly with e*thirteen’s cassettes for more overall range and higher top speeds. Made from durable 7075 alloy, they're CNC sculpted for a high stiffness-to-weight ratio. Compatible with both SRAM and Shimano 11 and 12-speed drivetrains, these rings are available in black & grey, aligning with e*thirteen 9-45T and 9-50T cassettes. Chainline is set by SRAM® Crank assembly.",Compatible with 4-bolt 107 BCD SRAM® cranks and Quarq® power meter cranks,"Forged and CNC optimized from 7075 AL for lightweight, stiffness, and enhanced wear-life","Offered in smaller 38, 40, and 42T sizes to support e*thirteen wide range, 9T smallest cog cassettes","Seamless performance with SRAM and Shimano drivetrains, including SRAM’s new Flat Top Chains.","Chainline is determined by SRAM® Crank assembly, 45mm for normal width cranks, 47.5mm for wide cranks.",,F,38T,107BCD,45/47.5mm (det. by crank assembly),4.8mm Offset,11/12s,M4 narrow-wide,Shimano/SRAM 11/12s incl. Flat Top Chains,AL 7075-T6,68g,,Grey,5 Years,https://drive.google.com/open?id=1luXPIj9-PvgnUKDow5NJ3-ke2uK7-eD4&usp=drive_copy,https://drive.google.com/open?id=1KLKAHQvRnZCKknsEXCwSWR6Le1pQV9Uk&usp=drive_copy,https://drive.google.com/open?id=12Ng5220V3sSzusuSUum2VAXrA-GH6svk&usp=drive_copy,https://drive.google.com/open?id=1O1BYroRd8t7FtP3U8mXD_eY7mIJifKCY&usp=drive_copy
